set, measurements,,,,set,measure,n,t,inv measure,FOPDT,,Ts,,Td,L,K,du,y0
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8966,,,,,,,,,,,,,,,,,
0.3018,-2.8772,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9346,,,,,,,,,,,,,,,,,
0.3018,-2.9184,,,,,,,,,,,,,,,,,
0.3018,-2.9368,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9561,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8951,,,,,,,,,,,,,,,,,
0.3018,-2.8784,,,,,,,,,,,,,,,,,
0.3018,-2.8772,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8966,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9745,,,,,,,,,,,,,,,,,
0.3018,-2.938,,,,,,,,,,,,,,,,,
0.3018,-2.9368,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8966,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9152,,,,,,,,,,,,,,,,,
0.3018,-2.8978,,,,,,,,,,,,,,,,,
0.3018,-2.9172,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9757,,,,,,,,,,,,,,,,,
0.3018,-2.9767,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9546,,,,,,,,,,,,,,,,,
0.3018,-2.9181,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8966,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
